source,place_id,business_name,category,address,postcode,lat,lng,phone,website_url,google_rating,review_count,maps_url,query_used,radius_used_m,contact_email_found,contact_form_url,facebook_url,instagram_url,lead_source_score,duplicate_flag,notes,website_exists,ssl_enabled,mobile_friendly,pagespeed_mobile,pagespeed_desktop,has_clear_cta,click_to_call_present,contact_form_present,tracking_present,conversion_score,qualification,audit_notes,group,problem_type,problem_summary
Google Places API (Text Search),ChIJBx0stFEEdkgRAVzT4XsbMs8,AC Electrical Services 09 Ltd,electrician; establishment; point_of_interest,"11 Broadview Rd, London SW16 5AU, UK",SW16 5AU,51.4175917,-0.1386827,020 8764 9570,https://aceselectricians.co.uk/,4.9,68,https://maps.google.com/?cid=14930025933570268161,electricians in Lambeth London,5000,,,,,99.4,No,Status: OPERATIONAL,Y,Y,Y,72,,Y,Y,N,N,76,SKIP,"Good conversion (76/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJhdRdHsAHdkgRIZyKg13nAK4,Diligent Electrical Contractors,electrician; establishment; point_of_interest,"2nd, Offices, 68 Norwood Park Rd, Norwood, London SE27 9UA, UK",SE27 9UA,51.4258244,-0.09453629999999999,07951 719187,http://www.diligentelectrical.co.uk/,5,59,https://maps.google.com/?cid=12538275751424334881,electricians in Lambeth London,5000,,,,,100,No,Status: OPERATIONAL,Y,N,Y,71,,Y,Y,N,Y,76,SKIP,"Good conversion (76/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJH1cbzDMHdkgRI5q1rXllhTM,NOD-Electrical Services - Electricians and EV Charging Experts in South London,electrician; establishment; point_of_interest,"Sunnyhill Rd, London SW16 2UN, UK",SW16 2UN,51.4287432,-0.1210571,07772 247410,http://www.nod-electricalservices.co.uk/,5,27,https://maps.google.com/?cid=3712485041116650019,electricians in Lambeth London,5000,,,,,95,No,Status: OPERATIONAL,Y,N,Y,100,,Y,Y,N,Y,80,SKIP,"Good conversion (80/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJW9qpZ_YFdkgRdELC8RJPMfs,24 Hour Emergency Electrician - London,electrician; establishment; point_of_interest,"Unit 16, Greene House, Burbage Cl, London SE1 4EG, UK",SE1 4EG,51.4963493,-0.0895284,07591 011434,https://emergencyelectricianslondon.net/emergency-services/emergency-electrician-services-london/,5,23,https://maps.google.com/?cid=18100335320162779764,electricians in Lambeth London,5000,,,,,95,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,N,Y,90,SKIP,"Good conversion (90/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJl2VKmeMFdkgRjEa4l5gM9bo,Symmetrical Electrical,electrician; establishment; point_of_interest,"14B Charleston St, London SE17 1NF, UK",SE17 1NF,51.4908858,-0.0943702,07886 526098,http://www.symmetrical-electrical.com/home,5,81,https://maps.google.com/?cid=13471687709868705420,electricians in Lambeth London,5000,,,,,100,No,Status: OPERATIONAL,Y,N,Y,100,,Y,N,Y,Y,75,SKIP,"Good conversion (75/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJ2VK4BykDdkgR0xA5maMLvdE,KADRIEN ELECTRICAL LTD,electrician; establishment; point_of_interest,"11 Grimwade Cl, London SE15 3HN, UK",SE15 3HN,51.46648010000001,-0.0574904,07984 143933,https://www.kadrienelectrical.co.uk/,5,119,https://maps.google.com/?cid=15113248721803481299,electrical companies Brixton,5000,,,,,100,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,N,N,80,SKIP,"Good conversion (80/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJCxeuDWoGdkgRFByoG-4fem0,Bedoya Electrical - Electricians Clapham,electrician; establishment; point_of_interest,"Suite 46, 101 Clapham High St, Pimlico, London SW4 7TB, UK",SW4 7TB,51.4867369,-0.1308976,020 3167 8729,https://www.bedoyaelectrical.com/,4.8,48,https://maps.google.com/?cid=7888652804819524628,electrical companies Brixton,5000,,,,,93.8,No,Status: OPERATIONAL,Y,Y,Y,100,,N,Y,N,Y,80,SKIP,"Good conversion (80/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJMYjrADEVhWkRyM5IaYQUl4U,JP Electrical Wiring LTD,electrician; establishment; point_of_interest,"Suite 100, 264 Lavender Hill, London SW11 1LJ, UK",SW11 1LJ,51.46400870000001,-0.1670122,07492 818296,https://www.jpelectricalwiring.com/,5,47,https://maps.google.com/?cid=9626185287462342344,emergency electrician Clapham,5000,,,,,95,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,N,Y,90,SKIP,"Good conversion (90/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJC5qIeF8FdkgRLK8BUZomRdE,Northcote Plumbing and Electrical,electrician; establishment; general_contractor; plumber; point_of_interest,"72 Chatham Rd, London SW11 6HG, UK",SW11 6HG,51.4548921,-0.1642509,020 7738 2814,https://northcoteplumbingandelectrical.co.uk/,4.7,90,https://maps.google.com/?cid=15079501371545857836,emergency electrician Clapham,5000,,,,,98.2,No,Status: OPERATIONAL,Y,Y,Y,100,,N,Y,N,Y,80,SKIP,"Good conversion (80/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJ_wdrYKSp2EcRFWO4kxHqR5k,London Electricians 24/7,electrician; establishment; point_of_interest,"116 Edgeworth Rd, London N3 3EZ, UK",N3 3EZ,51.4595121,0.0332367,020 3651 9615,https://www.london-electricians-247.co.uk/,5,73,https://maps.google.com/?cid=11045053972363109141,emergency electrician Clapham,5000,,,,,100,No,Status: OPERATIONAL,Y,Y,Y,53,,Y,Y,Y,Y,93,SKIP,"Good conversion (93/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJ7zTHzggDdkgRcTe8GS62kio,Switched On South London's Electricians,electrician; establishment; point_of_interest,"2 Dafforne Rd, Tooting Bec, London SW17 8TZ, UK",SW17 8TZ,51.43502849999999,-0.1602691,07708 677875,https://www.facebook.com/Switched-On-South-Londons-Electricians-178887188921400/,4.8,49,https://maps.google.com/?cid=3067714605309245297,emergency electrician Clapham,5000,,,,,93.8,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,N,N,Y,75,SKIP,"Good conversion (75/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJkagJGx4FdkgRyuO6CBaZb0Q,Clapham Electricians,electrician; establishment; point_of_interest,"11 Bedford Rd, Clapham High St, London SW4 7SH, UK",SW4 7SH,51.4649748,-0.1291289,020 3670 3971,http://www.electricians-clapham.co.uk/,5,7,https://maps.google.com/?cid=4931328436908778442,emergency electrician Clapham,5000,,,,,85,No,Status: OPERATIONAL,Y,N,Y,81,,Y,Y,Y,N,77,SKIP,"Good conversion (77/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJxxssJibkAK0Rtrhtp6X-PvM,Daddy Electrician Ltd,electrician; establishment; point_of_interest,"Riverbank house, 1 Putney Bridge Approach, London SW6 3JD, UK",SW6 3JD,51.468554,-0.2105642,07888 378837,https://www.daddyelectrician.com/,5,99,https://maps.google.com/?cid=17527726787204593846,emergency electrician Clapham,5000,,,,,100,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,N,Y,90,SKIP,"Good conversion (90/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJ2VY3DEcPdkgRprs-E2Y5Pnw,My Electrical Hero,electrician; establishment; point_of_interest,"Avon House Nursing Home, Avonmore Rd, London W14 8TS, UK",W14 8TS,51.4930654,-0.2037063,020 7088 8132,https://www.myelectricalhero.co.uk/,5,25,https://maps.google.com/?cid=8952656219831450534,emergency electrician Clapham,5000,,,,,95,No,Status: OPERATIONAL,Y,Y,Y,91,,Y,Y,Y,Y,99,SKIP,"Good conversion (99/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API (Text Search),ChIJicVanAUDdkgR-Ic9oW9hMSY,King Electricians: 24/7 Emergency Electrician,electrician; establishment; point_of_interest,"31 Benson Quay, London E1W 3TR, UK",E1W 3TR,51.5077074,-0.0541103,07903 289687,https://kingelectricians.co.uk/,5,34,https://maps.google.com/?cid=2752087979374512120,emergency electrician Clapham,5000,,,,,95,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,Y,Y,100,SKIP,"Good conversion (100/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
