source,place_id,business_name,category,address,postcode,lat,lng,phone,website_url,google_rating,review_count,maps_url,query_used,radius_used_m,contact_email_found,contact_form_url,facebook_url,instagram_url,lead_source_score,duplicate_flag,notes,website_exists,ssl_enabled,mobile_friendly,pagespeed_mobile,pagespeed_desktop,has_clear_cta,click_to_call_present,contact_form_present,tracking_present,conversion_score,qualification,audit_notes
Google Places API,ChIJN34R86xqqwkRaktgWxC-33Y,24hr Emergency Electrician Dulwich & Norwood | ABCD Electrical,electrician; establishment; point_of_interest,"30 Martell Rd, Norwood, London SE21 8EE, UK",SE21 8EE,51.4334527,-0.0946308,0333 577 0102,https://abcdelectrical.com/service-areas/dulwich/,5,133,https://maps.google.com/?cid=8565773993743764330,electrician Lambeth,3000,,,,,100,No,Status: OPERATIONAL,Y,Y,Y,16,,Y,Y,N,N,67,TARGET,Borderline (67/100). Some good elements but room for improvement.
Google Places API,ChIJcTUbzhkFdkgRKowPa6xsL2g,GSA Electrical Services Ltd,electrician; establishment; point_of_interest,"Flat 78, S Lambeth Rd, London SW8 1QU, UK",SW8 1QU,51.4803054,-0.1240089,07824 380971,,5,5,https://maps.google.com/?cid=7507338591636261930,electrician Lambeth,3000,,,,,70,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API,ChIJAQCMk5oEdkgRgSMT5TIzsfo,Jah Electrical,electrician; establishment; point_of_interest,"Camberwell Business Centre, 99-103 Lomond Grove, London SE5 7HN, UK",SE5 7HN,51.4769975,-0.0912847,020 3916 5419,http://jahelectricals.co.uk/,4.9,119,https://maps.google.com/?cid=18064275874044388225,electrician Lambeth,3000,,,,,99.4,No,Status: OPERATIONAL,Y,N,Y,100,,Y,Y,Y,Y,90,SKIP,"Good conversion (90/100). Modern site, well-optimized."
Google Places API,ChIJhQwJDQAFdkgR2wuk5MkVwmo,Vauxhall Electrical And Heating Services,electrician; establishment; plumber; point_of_interest,"29A Vauxhall Grove, London SW8 1SY, UK",SW8 1SY,51.4847501,-0.121863,07782 334897,,4.2,5,https://maps.google.com/?cid=7692735070370794459,electrician Lambeth,3000,,,,,65.2,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API,ChIJwdlTVMAFdkgRoyDJ6xhSJJc,Balham Electrical Services Limited,electrician; establishment; point_of_interest,"Balham , Wandsworth, London SW12 8NW, UK",SW12 8NW,51.4494161,-0.1613853,07595 700715,http://www.besltd247.co.uk/,4.8,114,https://maps.google.com/?cid=10890920065877221539,electrician Lambeth,3000,,,,,98.8,No,Status: OPERATIONAL,Y,N,N,100,,N,N,N,Y,35,TARGET,"Poor conversion (35/100). Issues: not mobile-friendly, no click-to-call, no clear CTA, no contact form"
Google Places API,ChIJHcLN2GsFdkgRbBtVMAjL5aM,24/7 POWERUP ELECTRICAL LTD,electrician; establishment; point_of_interest,"42-44 Nightingale Square, London SW12 8QL, UK",SW12 8QL,51.4481829,-0.157756,07982 999412,,5,76,https://maps.google.com/?cid=11810068833880054636,emergency electrician Lambeth,3000,,,,,85,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API,ChIJ1WmQdUUFdkgRNMJSZfP9wOc,Circuit Savvy Electric,electronics_store; establishment; point_of_interest; store,"St Peters Residence, 2A Meadow Rd, London SW8 1QH, UK",SW8 1QH,51.4829675,-0.1197314,020 3633 6672,https://lambeth-electricians.co.uk/,5,4,https://maps.google.com/?cid=16699626640108601908,emergency electrician Lambeth,3000,,,,,80,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,N,N,80,SKIP,"Good conversion (80/100). Modern site, well-optimized."
Google Places API,ChIJ4eX067UFdkgRWeSfdAAxCA0,SW Electricians,electrician; establishment; point_of_interest,"106, Ambrose House, 19 Circus Rd W, Nine Elms, London SW11 8EL, UK",SW11 8EL,51.4825585,-0.1459013,020 3151 6771,https://www.swelectricians.com/,4,8,https://maps.google.com/?cid=939054400333145177,emergency electrician Lambeth,3000,,,,,79,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,N,N,Y,75,SKIP,"Good conversion (75/100). Modern site, well-optimized."
Google Places API,ChIJBQh60TIFdkgRHbczFOSSJf4,Masterfix Property Services,electrician; establishment; general_contractor; plumber; point_of_interest; roofing_contractor,"Unit 1, 33 Stannary St, London SE11 4AA, UK",SE11 4AA,51.4860151,-0.1099232,020 7518 8600,http://www.master-fix.com/,4.5,236,https://maps.google.com/?cid=18313204968061122333,emergency electrician Lambeth,3000,,,,,97,No,Status: OPERATIONAL,Y,N,Y,100,,Y,Y,N,N,70,SKIP,"Good conversion (70/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJHUSzjcoHdkgR7L5lLhcDizg,NK Electrical Engineering,electrician; establishment; point_of_interest,"32 Hopton Rd, London SW16 2EJ, UK",SW16 2EJ,51.4258634,-0.1274222,07745 146001,https://www.checkatrade.com/trades/nkelectricalengineering,5,101,https://maps.google.com/?cid=4074353685984296684,electricians in Lambeth London,5000,,,,,100,No,Status: OPERATIONAL,Y,Y,Y,100,,N,N,N,N,55,TARGET,"Poor conversion (55/100). Issues: no click-to-call, no clear CTA, no contact form"
Google Places API (Text Search),ChIJBx0stFEEdkgRAVzT4XsbMs8,AC Electrical Services 09 Ltd,electrician; establishment; point_of_interest,"11 Broadview Rd, London SW16 5AU, UK",SW16 5AU,51.4175917,-0.1386827,020 8764 9570,https://aceselectricians.co.uk/,4.9,68,https://maps.google.com/?cid=14930025933570268161,electricians in Lambeth London,5000,,,,,99.4,No,Status: OPERATIONAL,Y,Y,Y,72,,Y,Y,N,N,76,SKIP,"Good conversion (76/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJhdRdHsAHdkgRIZyKg13nAK4,Diligent Electrical Contractors,electrician; establishment; point_of_interest,"2nd, Offices, 68 Norwood Park Rd, Norwood, London SE27 9UA, UK",SE27 9UA,51.4258244,-0.09453629999999999,07951 719187,http://www.diligentelectrical.co.uk/,5,59,https://maps.google.com/?cid=12538275751424334881,electricians in Lambeth London,5000,,,,,100,No,Status: OPERATIONAL,Y,N,Y,71,,Y,Y,N,Y,76,SKIP,"Good conversion (76/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJE6A1HwAFdkgRf-Ylpb_wc5s,Lambeth Electrical Services,electrician; establishment; point_of_interest,"28 McAuley Cl, London SE1 7BX, UK",SE1 7BX,51.4974473,-0.11227,07588 742989,,5,5,https://maps.google.com/?cid=11201561404100699775,electricians in Lambeth London,5000,,,,,70,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API (Text Search),ChIJE41alkkFdkgRRpJeg_Wew0I,Kennington Electrical Services London,electrician; establishment; point_of_interest,"11 Pratt Walk, London SE11 6AR, UK",SE11 6AR,51.4945798,-0.1170465,07400 208657,,5,2,https://maps.google.com/?cid=4810863604270010950,electricians in Lambeth London,5000,,,,,65,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API (Text Search),ChIJH1cbzDMHdkgRI5q1rXllhTM,NOD-Electrical Services - Electricians and EV Charging Experts in South London,electrician; establishment; point_of_interest,"Sunnyhill Rd, London SW16 2UN, UK",SW16 2UN,51.4287432,-0.1210571,07772 247410,http://www.nod-electricalservices.co.uk/,5,27,https://maps.google.com/?cid=3712485041116650019,electricians in Lambeth London,5000,,,,,95,No,Status: OPERATIONAL,Y,N,Y,100,,Y,Y,N,Y,80,SKIP,"Good conversion (80/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJW9qpZ_YFdkgRdELC8RJPMfs,24 Hour Emergency Electrician - London,electrician; establishment; point_of_interest,"Unit 16, Greene House, Burbage Cl, London SE1 4EG, UK",SE1 4EG,51.4963493,-0.0895284,07591 011434,https://emergencyelectricianslondon.net/emergency-services/emergency-electrician-services-london/,5,23,https://maps.google.com/?cid=18100335320162779764,electricians in Lambeth London,5000,,,,,95,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,N,Y,90,SKIP,"Good conversion (90/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJ8WVfIucddkgR7BvX9-pw8E8,BESA Electrical Services LTD,electrician; establishment; point_of_interest,"160 City Rd, London EC1V 2NX, UK",EC1V 2NX,51.5272503,-0.08898539999999999,020 3633 8937,https://besaelectricalservices.com/,5,335,https://maps.google.com/?cid=5760228077889592300,electricians in Lambeth London,5000,,,,,100,No,Status: OPERATIONAL,Y,Y,Y,100,,N,N,N,N,55,TARGET,"Poor conversion (55/100). Issues: no click-to-call, no clear CTA, no contact form"
Google Places API (Text Search),ChIJl2VKmeMFdkgRjEa4l5gM9bo,Symmetrical Electrical,electrician; establishment; point_of_interest,"14B Charleston St, London SE17 1NF, UK",SE17 1NF,51.4908858,-0.0943702,07886 526098,http://www.symmetrical-electrical.com/home,5,81,https://maps.google.com/?cid=13471687709868705420,electricians in Lambeth London,5000,,,,,100,No,Status: OPERATIONAL,Y,N,Y,100,,Y,N,Y,Y,75,SKIP,"Good conversion (75/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJ2VK4BykDdkgR0xA5maMLvdE,KADRIEN ELECTRICAL LTD,electrician; establishment; point_of_interest,"11 Grimwade Cl, London SE15 3HN, UK",SE15 3HN,51.46648010000001,-0.0574904,07984 143933,https://www.kadrienelectrical.co.uk/,5,119,https://maps.google.com/?cid=15113248721803481299,electrical companies Brixton,5000,,,,,100,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,N,N,80,SKIP,"Good conversion (80/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJZ0Y02tAFdkgRaAWMjd1UgMM,Jani Electrical,electrician; establishment; point_of_interest,"Flat 27, Westgate Court, Canterbury Cres, London SW9 7PR, UK",SW9 7PR,51.4637852,-0.1116075,07730 782387,,4.8,21,https://maps.google.com/?cid=14087352944954180968,electrical companies Brixton,5000,,,,,78.8,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API (Text Search),ChIJtT36GYEFdkgR4eDVet8OEVo,MK Electrical London Ltd,electrician; establishment; point_of_interest,"Townmead Business Centre, William Morris Way, London SW6 2SZ, UK",SW6 2SZ,51.4688686,-0.1853251,020 7385 5016,http://www.mkelectricallondon.co.uk/,4.9,98,https://maps.google.com/?cid=6489984891018928353,electrical companies Brixton,5000,,,,,99.4,No,Status: OPERATIONAL,Y,N,Y,100,,Y,N,N,N,55,TARGET,"Poor conversion (55/100). Issues: no click-to-call, no contact form"
Google Places API (Text Search),ChIJS4LD_nUEdkgReO-UCEg8HOM,W F Express Electricians Herne Hill,electrician; establishment; point_of_interest,"1 Danecroft Rd, London SE24 9PA, UK",SE24 9PA,51.4577771,-0.0951857,07897 026569,,5,7,https://maps.google.com/?cid=16365021426036830072,electrical companies Brixton,5000,,,,,70,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API (Text Search),ChIJq_i88I5SWogRQGTNITFBC4U,CRW Electrical Solutions Ltd,electrician; establishment; point_of_interest,"35 Leigham Vale, London SW16 2JH, UK",SW16 2JH,51.4348493,-0.1169618,020 8769 6777,,5,7,https://maps.google.com/?cid=9586827911064544320,electrical companies Brixton,5000,,,,,70,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API (Text Search),ChIJCxeuDWoGdkgRFByoG-4fem0,Bedoya Electrical - Electricians Clapham,electrician; establishment; point_of_interest,"Suite 46, 101 Clapham High St, Pimlico, London SW4 7TB, UK",SW4 7TB,51.4867369,-0.1308976,020 3167 8729,https://www.bedoyaelectrical.com/,4.8,48,https://maps.google.com/?cid=7888652804819524628,electrical companies Brixton,5000,,,,,93.8,No,Status: OPERATIONAL,Y,Y,Y,100,,N,Y,N,Y,80,SKIP,"Good conversion (80/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJMYjrADEVhWkRyM5IaYQUl4U,JP Electrical Wiring LTD,electrician; establishment; point_of_interest,"Suite 100, 264 Lavender Hill, London SW11 1LJ, UK",SW11 1LJ,51.46400870000001,-0.1670122,07492 818296,https://www.jpelectricalwiring.com/,5,47,https://maps.google.com/?cid=9626185287462342344,emergency electrician Clapham,5000,,,,,95,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,N,Y,90,SKIP,"Good conversion (90/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJC5qIeF8FdkgRLK8BUZomRdE,Northcote Plumbing and Electrical,electrician; establishment; general_contractor; plumber; point_of_interest,"72 Chatham Rd, London SW11 6HG, UK",SW11 6HG,51.4548921,-0.1642509,020 7738 2814,https://northcoteplumbingandelectrical.co.uk/,4.7,90,https://maps.google.com/?cid=15079501371545857836,emergency electrician Clapham,5000,,,,,98.2,No,Status: OPERATIONAL,Y,Y,Y,100,,N,Y,N,Y,80,SKIP,"Good conversion (80/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJ_wdrYKSp2EcRFWO4kxHqR5k,London Electricians 24/7,electrician; establishment; point_of_interest,"116 Edgeworth Rd, London N3 3EZ, UK",N3 3EZ,51.4595121,0.0332367,020 3651 9615,https://www.london-electricians-247.co.uk/,5,73,https://maps.google.com/?cid=11045053972363109141,emergency electrician Clapham,5000,,,,,100,No,Status: OPERATIONAL,Y,Y,Y,53,,Y,Y,Y,Y,93,SKIP,"Good conversion (93/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJ7zTHzggDdkgRcTe8GS62kio,Switched On South London's Electricians,electrician; establishment; point_of_interest,"2 Dafforne Rd, Tooting Bec, London SW17 8TZ, UK",SW17 8TZ,51.43502849999999,-0.1602691,07708 677875,https://www.facebook.com/Switched-On-South-Londons-Electricians-178887188921400/,4.8,49,https://maps.google.com/?cid=3067714605309245297,emergency electrician Clapham,5000,,,,,93.8,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,N,N,Y,75,SKIP,"Good conversion (75/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJkagJGx4FdkgRyuO6CBaZb0Q,Clapham Electricians,electrician; establishment; point_of_interest,"11 Bedford Rd, Clapham High St, London SW4 7SH, UK",SW4 7SH,51.4649748,-0.1291289,020 3670 3971,http://www.electricians-clapham.co.uk/,5,7,https://maps.google.com/?cid=4931328436908778442,emergency electrician Clapham,5000,,,,,85,No,Status: OPERATIONAL,Y,N,Y,81,,Y,Y,Y,N,77,SKIP,"Good conversion (77/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJxxssJibkAK0Rtrhtp6X-PvM,Daddy Electrician Ltd,electrician; establishment; point_of_interest,"Riverbank house, 1 Putney Bridge Approach, London SW6 3JD, UK",SW6 3JD,51.468554,-0.2105642,07888 378837,https://www.daddyelectrician.com/,5,99,https://maps.google.com/?cid=17527726787204593846,emergency electrician Clapham,5000,,,,,100,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,N,Y,90,SKIP,"Good conversion (90/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJ2VY3DEcPdkgRprs-E2Y5Pnw,My Electrical Hero,electrician; establishment; point_of_interest,"Avon House Nursing Home, Avonmore Rd, London W14 8TS, UK",W14 8TS,51.4930654,-0.2037063,020 7088 8132,https://www.myelectricalhero.co.uk/,5,25,https://maps.google.com/?cid=8952656219831450534,emergency electrician Clapham,5000,,,,,95,No,Status: OPERATIONAL,Y,Y,Y,91,,Y,Y,Y,Y,99,SKIP,"Good conversion (99/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJicVanAUDdkgR-Ic9oW9hMSY,King Electricians: 24/7 Emergency Electrician,electrician; establishment; point_of_interest,"31 Benson Quay, London E1W 3TR, UK",E1W 3TR,51.5077074,-0.0541103,07903 289687,https://kingelectricians.co.uk/,5,34,https://maps.google.com/?cid=2752087979374512120,emergency electrician Clapham,5000,,,,,95,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,Y,Y,100,SKIP,"Good conversion (100/100). Modern site, well-optimized."
Google Places API (Text Search),ChIJl6RcKE0FdkgRtrVbOWopG0U,Taylor & Taylor Electrical Contractors,electrician; establishment; home_goods_store; point_of_interest; store,"73 Bolingbroke Grove, London SW11 6HD, UK",SW11 6HD,51.4552022,-0.168145,07548 343807,http://www.taylorandtaylorelectrical.com/,5,20,https://maps.google.com/?cid=4979619349193799094,emergency electrician Clapham,5000,,,,,95,No,Status: OPERATIONAL,Y,N,Y,94,,N,N,N,N,44,TARGET,"Poor conversion (44/100). Issues: no click-to-call, no clear CTA, no contact form"
