source,place_id,business_name,category,address,postcode,lat,lng,phone,website_url,google_rating,review_count,maps_url,query_used,radius_used_m,contact_email_found,contact_form_url,facebook_url,instagram_url,lead_source_score,duplicate_flag,notes
Google Places API,ChIJm0WLnHbxdUgRsEZHhCL5KBk,Forest Hill roofing,establishment; general_contractor; point_of_interest; roofing_contractor,"220 Devonshire Rd, London SE23 3TQ, UK",SE23 3TQ,51.4470935,-0.0487718,07864 888292,,5,21,https://maps.google.com/?cid=1812972776660092592,roofer Lambeth,5000,,,,,80,No,Status: OPERATIONAL
Google Places API,ChIJ31rDiQIGdkgR0e_MDS9MQak,Scotts Roofing Ltd,establishment; general_contractor; point_of_interest; roofing_contractor; store,"15, High Path, London SW19 2JS, UK",SW19 2JS,51.4145311,-0.1908921,01494 578885,http://www.scottsroofingltd.com/,4.9,178,https://maps.google.com/?cid=12196113030874722257,roofer Lambeth,5000,,,,,99.4,No,Status: OPERATIONAL
Google Places API,ChIJMStE8_AFdkgRMxugKnBHm0s,24/7 ☎️LONDON CITY ROOFING ⭐⭐⭐⭐⭐| ROOFERS WEST LONDON | ROOF REPAIRS WEST LONDON | ROOFING WEST LONDON,establishment; point_of_interest; roofing_contractor,"Fulham, West, 36 Glenrosa St, London SW6 2QZ, UK",SW6 2QZ,51.4711332,-0.1855386,0800 488 0683,https://londoncityroofing.co.uk/,5,11,https://maps.google.com/?cid=5448026721311791923,roofer Lambeth,5000,,,,,90,No,Status: OPERATIONAL
Google Places API,ChIJUScD4ukHdkgRsX2I54B7IYo,Roofer in Tooting,establishment; point_of_interest; roofing_contractor,"89 Bickersteth Rd, London SW17 9SH, UK",SW17 9SH,51.4237696,-0.1637586,07443 837566,https://rooferintooting.co.uk/,4.9,37,https://maps.google.com/?cid=9953372445036019121,roofer Lambeth,5000,,,,,94.4,No,Status: OPERATIONAL
Google Places API,ChIJFwkS2m4FdkgRsKe8p2FJcYE,Roofline Roofing Battersea,establishment; point_of_interest; roofing_contractor,"264 Lavender Hill, London SW11 1LJ, UK",SW11 1LJ,51.46400870000001,-0.1670122,020 8635 3381,https://www.rooflineroofing.co.uk/,5,9,https://maps.google.com/?cid=9327316987035822000,roofer Lambeth,5000,,,,,85,No,Status: OPERATIONAL
Google Places API,ChIJVVVRTNcweUgR8lURYRM5kHc,Highpoint Roofing Southbank,establishment; point_of_interest; roofing_contractor,"126A Cornwall Rd, London SE1 8TQ, UK",SE1 8TQ,51.5029604,-0.1098763,020 3128 7451,,5,1,https://maps.google.com/?cid=8615448842555446770,roofing contractor Lambeth,5000,,,,,65,No,Status: OPERATIONAL
Google Places API,ChIJvU1A8AoQdkgRHVMh34RC5gc,Roof Repairs,establishment; general_contractor; point_of_interest; roofing_contractor,"55 Catherine Pl, London SW1E 6DY, UK",SW1E 6DY,51.4992262,-0.1400533,07743 371384,http://www.waterdamage.london/,5,2,https://maps.google.com/?cid=569215541355565853,roof repair Lambeth,5000,,,,,80,No,Status: OPERATIONAL
Google Places API,ChIJhZu2lRoFdkgRNy4bhq-4_UU,Knights Roofing + Exterior Restoration Ltd,establishment; point_of_interest; roofing_contractor,"Battersea Power Station, The Engine rooms, London SW11 8BZ, UK",SW11 8BZ,51.4658506,-0.1693757,020 7126 8439,https://www.knights-roofing.co.uk/,5,11,https://maps.google.com/?cid=5043390221733539383,roof repair Lambeth,5000,,,,,90,No,Status: OPERATIONAL
Google Places API,ChIJLUkj_kQFdkgRTgeU6k8dRpE,Craftsman Roofing Solutions Ltd,establishment; point_of_interest; roofing_contractor,"10, Streatleigh Road, Streatham High Rd, London SW16 1EQ, UK",SW16 1EQ,51.4377357,-0.1274054,07842 111218,https://craftsmanroofing.co.uk/,4.2,5,https://maps.google.com/?cid=10468086612944488270,roofing services Lambeth,5000,,,,,80.2,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJgci6A9JGrgAR5yPnZFOu2S8,Golden Roofing Expert Ltd✅✅✅✅✅,establishment; general_contractor; health; point_of_interest; roofing_contractor,"10 Sale Pl, Tyburnia, London W2 1PX, UK",W2 1PX,51.5177571,-0.1696116,07723 782655,http://www.goldenroofing.co.uk/,5,461,https://maps.google.com/?cid=3447978662927213543,roofers in Lambeth London,5000,,,,,100,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJz_XBd38DdkgRXduQoQ3Akn0,Roofer Forest Hill - Archwell Roofing Ltd,establishment; point_of_interest; roofing_contractor,"Houston Rd, London SE23 2RL, UK",SE23 2RL,51.4346743,-0.038041,07958 002494,http://www.archwellroofingltd.co.uk/,4.9,108,https://maps.google.com/?cid=9048505766118480733,roofers in Lambeth London,5000,,,,,99.4,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJ4UO7Mj4RdkgReciemJnpsg0,Victoria Roofing Expert Ltd,establishment; general_contractor; point_of_interest; roofing_contractor,"188 Camden High St, London NW1 8QP, UK",NW1 8QP,51.5397805,-0.1430814,07848 256099,https://victoriaconstruction.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gbp,5,256,https://maps.google.com/?cid=987108114247370873,roofers in Lambeth London,5000,,,,,100,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJN7bHZjcRdkgRp31_k5WmtKk,M.N.O SPECIALIST ROOFING & EXTERIORS LTD,establishment; point_of_interest; roofing_contractor,"E, 47 Philbeach Gdns, London SW5 9EB, UK",SW5 9EB,51.4909659,-0.2002517,020 8050 3726,https://www.mnoroofing.com/,5,291,https://maps.google.com/?cid=12228582049572683175,roofers in Lambeth London,5000,,,,,100,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJu6EN7zsDdkgRwiTJRpq9ZMc,JBM Roofing Solutions,establishment; general_contractor; point_of_interest; roofing_contractor,"107 Houston Rd, London SE23 2RL, UK",SE23 2RL,51.4347791,-0.0364981,07949 686669,https://www.jbmroofing.co.uk/,5,67,https://maps.google.com/?cid=14367817181528925378,roofing companies Brixton,5000,,,,,100,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJAxzB9V0FdkgRXB85HKePttA,Aztec Roofing And Building Ltd,establishment; general_contractor; point_of_interest; roofing_contractor,"Streatleigh Parade, 10 Streatham High Rd, London SW16 1DB, UK",SW16 1DB,51.4375357,-0.1270541,07462 723656,https://aztecroofingandbuildingltd.com/,5,7,https://maps.google.com/?cid=15039365953546166108,roofing companies Brixton,5000,,,,,85,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJ1SM6gWEDdkgRM5kGlICtkf0,Vasyl Roofing & Cladding Dulwich,establishment; general_contractor; home_goods_store; point_of_interest; roofing_contractor; store,"169 Lordship Ln, London SE22 8HD, UK",SE22 8HD,51.4556695,-0.0761979,07418 356738,https://roofingcompanydulwich.co.uk/,5,25,https://maps.google.com/?cid=18271575930969692467,roofing companies Brixton,5000,,,,,95,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJjeI8UwAFdkgR-FM0CgemfAM,Clapham Roofing,establishment; point_of_interest; roofing_contractor,"108A Clapham High St, London SW4 7UJ, UK",SW4 7UJ,51.4632361,-0.1346313,020 3519 2755,,,,https://maps.google.com/?cid=251258228392088568,roof repairs Clapham,5000,,,,,35,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJaxWMPr1EciMRdDWyi04hvwI,Roofing 365,establishment; point_of_interest; roofing_contractor,"Feathers Wharf, Smugglers Way, London SW18 1YL, UK",SW18 1YL,51.4621728,-0.1903982,07577 365365,https://roofing365.co.uk/,5,19,https://maps.google.com/?cid=197913529862468980,roof repairs Clapham,5000,,,,,90,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJTz81jDujcI0R9cjW3McLskU,H95 Roofing & Building,establishment; point_of_interest; roofing_contractor,"101 Clapham High St, London SW4 7TB, UK",SW4 7TB,51.4629463,-0.1342906,020 3962 2792,https://h95roofing.co.uk/,,,https://maps.google.com/?cid=5022089487502985461,roof repairs Clapham,5000,,,,,50,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJkT0zcZptdkgR1s2Be0FaToo,Battersea Roofing,establishment; point_of_interest; roofing_contractor,"16 Colestown St, London SW11 3EH, UK",SW11 3EH,51.472365,-0.166238,020 3519 2824,,5,1,https://maps.google.com/?cid=9966002262708964822,roof repairs Clapham,5000,,,,,65,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJ7dhdJ5UFdkgR06zNP6N_5S4,South West London Roofing ltd,establishment; point_of_interest; roofing_contractor,"45 Pont St, London SW1X 0BD, UK",SW1X 0BD,51.4966862,-0.1617976,020 7205 4443,http://www.southwestlondonroofing.co.uk/,5,5,https://maps.google.com/?cid=3379247434538265811,roof repairs Clapham,5000,,,,,85,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJMRrQwoAFdkgRIutMO6esfb8,Hamilton Roofing And Building Limited,establishment; general_contractor; point_of_interest; roofing_contractor,"Unit 23, Townmead Business Centre, William Morris Way, London SW6 2SZ, UK",SW6 2SZ,51.4688686,-0.1853251,020 7205 2087,https://www.hamiltonroofingandbuilding.co.uk/,4.3,18,https://maps.google.com/?cid=13798374667587480354,roof repairs Clapham,5000,,,,,85.8,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJRV0velEFdkgRamJ1UV3VASE,Robinsons damp services,establishment; point_of_interest; roofing_contractor,"101 Clapham High St, London SW4 7TB, UK",SW4 7TB,51.4629463,-0.1342906,07448 674535,https://www.trustatrader.com/traders/robinsons-services-damp-proofing-en1-en2-and-en6,4,4,https://maps.google.com/?cid=2378416675003654762,roof repairs Clapham,5000,,,,,74,No,Status: OPERATIONAL
Google Places API (Text Search),ChIJEy-4PtwRdkgRKnkB9WnCEGw,Bernard Andrews Roofing LTD,establishment; point_of_interest; roofing_contractor,"142 Cromwell Rd, London SW7 4EF, UK",SW7 4EF,51.494873,-0.1875972,020 3740 3788,https://bernardandrewsroofing.com/,5,34,https://maps.google.com/?cid=7786937516061456682,roof repairs Clapham,5000,,,,,95,No,Status: OPERATIONAL
Google Places API (Extended),ChIJh_BdE44FdkgRM7gQgtjLSXs,Brixton Solar Roofing Contractors,establishment; point_of_interest; roofing_contractor,"27 Brixton Hill, London SW2 3LT, UK",SW2 3LT,51.4580739,-0.117601,07707 315036,https://solarroofingbrixton.com/,,,https://maps.google.com/?cid=8883855870720522291,roofer Brixton,5000,,,,,50,No,Status: OPERATIONAL
Google Places API (Extended),ChIJR41bI-dHckgREXVfkZzXSqY,ER Group London,electrician; establishment; plumber; point_of_interest; roofing_contractor,"21 Ellis St, London SW1X 9AL, UK",SW1X 9AL,51.4941118,-0.1572415,020 7593 8080,https://ergrouplondon.com/,5,37,https://maps.google.com/?cid=11982626826026448145,roofer Clapham,5000,,,,,95,No,Status: OPERATIONAL
Google Places API (Extended),ChIJh8KvKFgqQUMRaidLmS-5Jwg,Thistle Roofing Services Limited,establishment; point_of_interest; roofing_contractor,"405 King's Rd, London SW10 0BB, UK",SW10 0BB,51.4828853,-0.1774795,020 7205 2467,https://www.thistleroofingservices.co.uk/,5,12,https://maps.google.com/?cid=587641890481579882,roofer Clapham,5000,,,,,90,No,Status: OPERATIONAL
Google Places API (Extended),ChIJd5_YU9J0dkgRUlinv37ReSk,Runnymede Roofing,establishment; point_of_interest; roofing_contractor,"235 Earls Ct Rd, London SW5 9FE, UK",SW5 9FE,51.4898306,-0.1902303,020 8528 3550,http://www.runnymederoofing.co.uk/,5,9,https://maps.google.com/?cid=2988650170048534610,roofer Clapham,5000,,,,,85,No,Status: OPERATIONAL
Google Places API (Extended),ChIJVdzsoaAFdkgRqapK6159VL8,City Building And Roofing Ltd -⭐️⭐️⭐️⭐️⭐️-ROOFERS CHELSEA-ROOF REPAIRS CHELSEA-NEW ROOFS-FLAT ROOFS,establishment; point_of_interest; roofing_contractor,"International house, 142 Cromwell Rd, London SW7 4EF, UK",SW7 4EF,51.4948708,-0.1876377,020 7118 0095,http://www.citybuildingandroofing.co.uk/,5,10,https://maps.google.com/?cid=13786782205915867817,roofer Clapham,5000,,,,,90,No,Status: OPERATIONAL
Google Places API (Extended),ChIJjd3WcV4EdkgRPs5Rs8FBsPU,Aspect Roofing,establishment; point_of_interest; roofing_contractor,"92 Stockwell Rd, London SW9 9HR, UK",SW9 9HR,51.4687127,-0.1194388,020 7733 6777,,1,11,https://maps.google.com/?cid=17703722435386396222,roofer Stockwell,5000,,,,,51,No,Status: OPERATIONAL
Google Places API (Extended),ChIJsc_Z6ToPdkgRoWe6yIEoM6U,Roofwise Roofing Services Ltd,establishment; painter; plumber; point_of_interest; roofing_contractor,"Michelin House, London SW3 6RD, UK",SW3 6RD,51.4931667,-0.1684618,07701 051304,https://www.roofwiseroofingservicesltd.com/,5,32,https://maps.google.com/?cid=11903902777953904545,roofer Stockwell,5000,,,,,95,No,Status: OPERATIONAL
Google Places API (Extended),ChIJCQBsEl2j2EcR9XgE5R8gZVw,S&M Roofing Ltd,establishment; point_of_interest; roofing_contractor,"225 Clapham Rd, London SW9 9BE, UK",SW9 9BE,51.4718205,-0.1226127,07590 242928,,5,1,https://maps.google.com/?cid=6657762945495496949,roofer Stockwell,5000,,,,,65,No,Status: OPERATIONAL
Google Places API (Extended),ChIJLQb-HYQFdkgRNh7T0ANm2FU,Approved Roofing London Ltd,establishment; general_contractor; point_of_interest; roofing_contractor,"5th floor, Dudley House, 169 Piccadilly, London W1J 9EH, UK",W1J 9EH,51.5079568,-0.1397125,020 8168 0048,https://www.approvedroofinglondonltd.co.uk/,5,15,https://maps.google.com/?cid=6185806254767808054,roofer Kennington,5000,,,,,90,No,Status: OPERATIONAL
Google Places API (Extended),ChIJ8-kNFycFdkgRzLN5VsF__Ys,Philip Carter Ltd,establishment; general_contractor; point_of_interest,"47, Bannerman House, Lawn Ln, London SW8 1UA, UK",SW8 1UA,51.4835455,-0.1202565,07383 992682,,5,5,https://maps.google.com/?cid=10087359208736011212,roofer Vauxhall,5000,,,,,70,No,Status: OPERATIONAL
